name,short_name,state__short_name,aliases
La Jolla,,CA,"Lajolla,Lo Jolla"
Rancho Santa Fe,,CA,Rcho Santa Fe
Sacramento,,CA,Sacremento
San Clemente,,CA,San Clementa
San Diego,CSD,CA,Sabn Diego
San Francisco,SFO,CA,"San Francisoc,San Farncisco,San Franc,San Francisco Ethics Commission,San Franciso,San Franciscp,San Francisxo,San Francosco,San Francsco,San Francsico,San Francusci,San Franisco,San Franscisco,San Frnacisco,San Frtancisco,San Fancisco,San Fracisco,San Fracnisco,San Franciaco,San Francico,San Francicso,San Franciscco"
San Gabriel,,CA,San Gabriek
San Jose,,CA,San Jsoe
Solana Beach,,CA,Solano Beach
South San Francisco,,CA,"S San Francisco,S Sn Francisco,"
